Suburb,Address,Rooms,Type,Price,SellerG,Date,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
Templestowe Lower,78 Olympus Dr,4,h,1182500,Barry,27/11/2016,3107,4,2,2,650,150,1975,Manningham,-37.7764,145.1216,Eastern Metropolitan,5420
Fawkner,1/11 Brockley Rd,3,h,400K,Raine,22/05/2016,3060,3,1,1,285,,,Moreland,-37.7161,144.9662,Northern Metropolitan,5070
Ascot Vale,18A Middle St,3,t,1200K,Jellis,24/06/2017,3032,3,2,2,198,,,Moonee Valley,-37.7771,144.92793,Western Metropolitan,6567
Preston,25 Pender St,3,h,842K,Barry,16/07/2016,3072,3,1,1,398,,,Darebin,-37.7372,145.01,Northern Metropolitan,14577
Balwyn North,3/48 Alpha St,2,u,1040K,Fletchers,24/09/2016,3104,2,1,1,250,112,1995,Boroondara,-37.7996,145.0959,Southern Metropolitan,7809
Brighton East,1 Marriage Rd,4,h,1815K,hockingstuart,22/05/2016,3187,4,2,2,732,,,Bayside,-37.9184,145.007,Southern Metropolitan,6938
Footscray,6/11 Nicholson St,3,u,480K,Nelson,8/10/16,3011,3,1,1,0,90,1985,Maribyrnong,-37.7949,144.9007,Western Metropolitan,7570
Brighton,8 Southey St,3,t,1762K,Buxton,17/09/2016,3186,3,2,2,483,,,Bayside,-37.9075,145.0064,Southern Metropolitan,10579
Essendon,103 Woodland St,3,h,1550K,Nelson,15/07/2017,3040,3,1,1,730,,,Moonee Valley,-37.74253,144.91753,Western Metropolitan,9264
Mont Albert,11 Inglisby Rd,4,h,2320K,Jellis,1/7/17,3127,4,2,5,728,,,Whitehorse,-37.81402,145.10336,Eastern Metropolitan,2079
Pascoe Vale,1/36 Bolingbroke St,2,u,565K,Rendina,29/07/2017,3044,2,1,2,189,,1980,Moreland,-37.73199,144.93395,Northern Metropolitan,7485
Coburg,38 Harding St,4,h,1221K,Nelson,3/12/16,3058,4,1,2,596,,,Moreland,-37.7456,144.9696,Northern Metropolitan,11204
South Yarra,2/1 Alexandra Av,2,u,1350K,Kay,12/8/17,3141,2,2,1,0,109,1930,Melbourne,-37.82863,144.98514,Southern Metropolitan,14887
Malvern East,343 Waverley Rd,3,h,1902K,Marshall,9/9/17,3145,3,2,2,728,,,,-37.87742,145.06162,Southern Metropolitan,8801
East Melbourne,402/166 Wellington Pde,1,u,503K,Biggin,8/4/17,3002,1,1,1,0,,,Melbourne,-37.8161,144.9845,Northern Metropolitan,3040
Carlton,130 Rathdowne St,4,h,1616K,Woodards,25/02/2017,3053,4,1,0,152,139,1890,Melbourne,-37.7966,144.9709,Northern Metropolitan,6786
Reservoir,163 Spring St,4,h,790K,Ray,23/04/2016,3073,4,2,2,1090,,,Darebin,-37.7243,145.0014,Northern Metropolitan,21650
Niddrie,3/42 Sapphire St,2,u,660K,Barry,4/6/16,3042,2,2,1,217,113,2006,Moonee Valley,-37.7465,144.8868,Western Metropolitan,2291
South Yarra,6/210 Domain Rd,2,u,832K,Williams,15/10/2016,3141,2,1,1,0,,1960,Melbourne,-37.8342,144.9842,Southern Metropolitan,14887
Thornbury,50 Leinster Gr,3,h,1110K,Nelson,17/09/2016,3071,3,1,1,562,156,1950,Darebin,-37.7602,144.9878,Northern Metropolitan,8870
Flemington,4 Farnham St,3,h,1115K,Nelson,27/11/2016,3031,3,1,1,244,84,1940,Moonee Valley,-37.7823,144.9278,Northern Metropolitan,3593
Meadow Heights,103 Cassinia Cr,3,h,430K,Barry,15/07/2017,3048,3,1,2,522,,,Hume,-37.64683,144.91106,Northern Metropolitan,4704
Bundoora,13 Cher Av,4,t,685K,Morrison,12/8/17,3083,4,2,1,287,152,1990,Whittlesea,-37.69382,145.04831,Northern Metropolitan,10175
South Yarra,25/388 Toorak Rd,2,u,627500,hockingstuart,13/08/2016,3141,2,1,1,0,85,1970,Stonnington,-37.8407,145.004,Southern Metropolitan,14887
Collingwood,1/79 Oxford St,2,h,1230K,Jellis,11/2/17,3066,2,2,1,0,153,1920,Yarra,-37.8042,144.9845,Northern Metropolitan,4553
Prahran,52 Packington St,2,h,1210K,Marshall,7/11/16,3181,2,1,0,218,,1910,Stonnington,-37.8561,145.0042,Southern Metropolitan,7717
Keilor East,14 Paul Av,3,h,1076500,Nelson,9/9/17,3033,3,1,1,638,,,,-37.73951,144.86798,Western Metropolitan,5629
Moorabbin,52 Bulli St,3,h,1417250,Buxton,4/2/16,3189,3,2,2,653,180,1950,Kingston,-37.9418,145.0549,Southern Metropolitan,2555
Middle Park,67 McGregor St,3,h,2010K,Cayzer,3/6/17,3206,3,1,0,207,128,1890,Port Phillip,-37.85356,144.96415,Southern Metropolitan,2019
Kensington,21 Bayswater Rd,2,h,1005K,Brad,12/11/16,3031,2,1,0,274,,,Melbourne,-37.7931,144.9247,Northern Metropolitan,5263
Sunshine North,114 Warwick Rd,3,h,503K,Douglas,27/06/2016,3020,3,1,1,251,90,1945,Brimbank,-37.7682,144.8335,Western Metropolitan,4217
Albert Park,2 Boyd St,2,h,2905K,RT,3/6/17,3206,2,1,1,254,,,Port Phillip,-37.84583,144.95658,Southern Metropolitan,3280
Northcote,22 Ellesmere St,2,h,875K,Nelson,18/06/2016,3070,2,1,1,0,,,Darebin,-37.7736,145.0074,Northern Metropolitan,11364
Balwyn North,3/54 Severn St,4,t,1400K,Jellis,7/5/16,3104,4,2,1,283,,,Boroondara,-37.7982,145.0688,Southern Metropolitan,7809
Bellfield,5 Davidson St,4,h,951K,Miles,26/08/2017,3081,4,1,1,654,,1960,,-37.75399,145.03606,Eastern Metropolitan,790
Malvern East,13 Clarence St,4,h,2490K,Marshall,30/07/2016,3145,3,2,2,640,,,Stonnington,-37.8738,145.0415,Southern Metropolitan,8801
Eaglemont,104 Studley Rd,3,h,1440K,Miles,15/07/2017,3084,3,1,2,598,116,1955,Banyule,-37.76093,145.056,Eastern Metropolitan,1651
Prahran,37 Wrights Tce,3,h,1730K,Jellis,8/10/16,3181,2,2,1,210,,,Stonnington,-37.851,145.0051,Southern Metropolitan,7717
Heidelberg,6 Clyde Ct,3,h,985K,Nelson,23/09/2017,3084,3,1,2,528,118,1955,,-37.74821,145.06933,Eastern Metropolitan,2890
Hampton,38 Myrtle Rd,4,h,2800K,Nick,3/9/16,3188,3,3,2,701,320,2015,Bayside,-37.9419,145.0152,Southern Metropolitan,5454
Prahran,101/323 Dandenong Rd,2,u,690K,McGrath,20/05/2017,3181,2,2,2,1146,,,Stonnington,-37.8597,145.0093,Southern Metropolitan,7717
Black Rock,5/323 Beach Rd,2,u,600K,Hodges,29/07/2017,3193,2,1,1,0,74,1960,Bayside,-37.97853,145.0175,Southern Metropolitan,2866
Maribyrnong,44/2 Horizon Dr,2,u,495K,Brad,18/03/2017,3032,2,2,2,37000,,,Maribyrnong,-37.7752,144.8925,Western Metropolitan,4918
Heidelberg Heights,33 Shakespeare Gr,2,h,680K,Fletchers,12/11/16,3081,2,1,1,605,78,1950,Banyule,-37.7365,145.0545,Eastern Metropolitan,2947
Ashwood,5 Harcourt St,2,h,1495K,Barry,8/4/17,3147,2,1,2,803,95,1950,Monash,-37.8683,145.1064,Southern Metropolitan,2894
Richmond,12 Longfield St,3,h,1540K,hockingstuart,25/02/2017,3121,3,1,1,0,,,Yarra,-37.8214,145.0119,Northern Metropolitan,14949
Hawthorn East,3/23 Auburn Gr,2,u,568K,Jellis,22/08/2016,3123,2,1,1,0,,1960,Boroondara,-37.8254,145.0476,Southern Metropolitan,6482
Lalor,13 Rosemary Dr,3,h,572K,Love,27/05/2017,3075,3,1,2,640,140,1975,Whittlesea,-37.6591,145.00549,Northern Metropolitan,8279
Brunswick East,7/2 Albion St,2,u,570K,McGrath,3/6/17,3057,2,1,1,0,,1980,Moreland,-37.7631,144.98138,Northern Metropolitan,5533
Highett,31 The Crescent,4,t,1200K,hockingstuart,29/07/2017,3190,4,2,2,304,183,2007,Kingston,-37.94633,145.04947,Southern Metropolitan,4794
Blackburn,18 Masons Rd,2,h,1500K,Noel,15/07/2017,3130,2,1,1,1021,,,Whitehorse,-37.83189,145.15785,Eastern Metropolitan,5713
Ormond,55 Carlyon St,2,h,981K,C21,25/02/2017,3204,2,1,1,533,,,Glen Eira,-37.9048,145.0418,Southern Metropolitan,3578
Bentleigh East,10 Boronia St,4,h,1698888,hockingstuart,22/08/2016,3165,4,2,2,598,337,2006,Glen Eira,-37.9138,145.0774,Southern Metropolitan,10969
Brighton,552 New St,3,h,2445K,Marshall,13/05/2017,3186,3,3,2,440,,,Bayside,-37.8868,144.9968,Southern Metropolitan,10579
Moonee Ponds,59 Margaret St,3,h,1245K,McDonald,29/07/2017,3039,3,1,0,234,,1914,Moonee Valley,-37.76321,144.91958,Western Metropolitan,6232
Carlton,32 Dorrit St,4,h,2033K,Nelson,23/04/2016,3053,2,2,2,123,,,Melbourne,-37.7998,144.9665,Northern Metropolitan,6786
Malvern,8/6 Irving St,2,u,740K,Marshall,25/02/2017,3144,2,1,1,0,91,1967,Stonnington,-37.8597,145.0322,Southern Metropolitan,4675
Elwood,1/6 Wave St,1,u,347K,Gary,25/02/2017,3184,1,1,1,0,37,1970,Port Phillip,-37.8839,144.9903,Southern Metropolitan,8989
Hawthorn,302/2 Tweed St,2,u,575K,hockingstuart,8/10/16,3122,2,2,1,0,,,Boroondara,-37.8213,145.0291,Southern Metropolitan,11308
St Kilda,23A Havelock St,2,h,1120K,hockingstuart,8/4/17,3182,2,1,0,135,74,1930,Port Phillip,-37.8661,144.9802,Southern Metropolitan,13240
Sunshine,4 Farnsworth St,3,h,865K,Douglas,27/05/2017,3020,3,1,2,550,,,Brimbank,-37.77972,144.83809,Western Metropolitan,3755
Pascoe Vale,4/36 Sylvan Gr,2,u,495K,Brad,7/11/16,3044,2,1,1,207,,1975,Moreland,-37.7283,144.9417,Northern Metropolitan,7485
Balwyn North,15 Illawarra Rd,3,h,1903K,Noel,16/07/2016,3104,3,1,2,713,720,1950,Boroondara,-37.7982,145.0816,Southern Metropolitan,7809
Richmond,312/45 York St,2,u,650K,Marshall,17/06/2017,3121,2,2,1,2226,,2011,Yarra,-37.813,144.99303,Northern Metropolitan,14949
Hawthorn East,8/423 Tooronga Rd,2,u,505K,Greg,27/06/2016,3123,2,1,1,0,78,1965,Boroondara,-37.839,145.0459,Southern Metropolitan,6482
Montmorency,12 Aanensen Ct,3,h,1130K,Barry,27/05/2017,3094,3,2,2,842,,,Banyule,-37.72096,145.12948,Eastern Metropolitan,3891
Rosanna,3/25 Ellesmere Pde,3,t,710K,Buckingham,30/07/2016,3084,3,1,1,174,,,Banyule,-37.7404,145.0648,Eastern Metropolitan,3540
Hawthorn East,2/24 Selwood St,1,u,375K,Jellis,20/05/2017,3123,1,1,1,0,,1960,Boroondara,-37.8362,145.0543,Southern Metropolitan,6482
Elwood,12/10 Docker St,2,u,1260K,hockingstuart,8/4/17,3184,2,2,2,626,125,2008,Port Phillip,-37.8865,144.9874,Southern Metropolitan,8989
Dingley Village,13 Wheatland Cr,4,h,955K,Obrien,3/9/17,3172,4,2,2,615,,,,-37.96746,145.12788,South-Eastern Metropolitan,3940
North Warrandyte,39 Valias St,4,h,902K,Gardiner,9/9/17,3113,4,2,0,1457,147,1970,,-37.72548,145.20868,Eastern Metropolitan,1058
Glen Iris,6 Bardolph St,2,h,708K,Jellis,19/08/2017,3146,2,1,1,151,,,,-37.85156,145.07958,Southern Metropolitan,10412
Moorabbin,77 Chapel Rd,3,h,920K,hockingstuart,28/05/2016,3189,3,1,1,653,,,Kingston,-37.9392,145.0481,Southern Metropolitan,2555
Niddrie,13 George St,3,h,960K,Nelson,6/5/17,3042,3,1,2,626,,,Moonee Valley,-37.7421,144.8851,Western Metropolitan,2291
